dataset,architecture,fold,transformation,method,segment_f1_response,maximum_absolute_probability_response,mean_absolute_probability_response,decoded_bins_changed,checkpoint_changed,update_difference,scaler_mean_norm_response,scaler_std_norm_response
hapt,bigru,2,heterogeneous_metadata_fanout,ordinary_learning_bigru,-0.1066783216783216,0.1036020219326019,0.0248990249784699,174,False,0,0.0095171928405761,0.0050535202026367
hapt,bigru,2,deterministic_row_reorder,ordinary_learning_bigru,0.0,0.0001461505889892,8.895178520223867e-06,0,False,0,-5.4836273193359375e-06,-3.814697265625e-06
hapt,bigru,2,mixed_materialization_sequence,ordinary_learning_bigru,0.0007575757575757,0.0087404251098632,0.0008120950743586,8,False,0,-0.0067842006683349,-0.0118052959442138
hapt,bigru,2,clean,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,2,one_to_many_metadata_join,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,2,repeated_export_concatenation,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,2,exploded_list_metadata,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,2,heterogeneous_metadata_fanout,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,2,deterministic_row_reorder,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,2,mixed_materialization_sequence,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
